序号,回数,内容,字数,雙音詞数,多音詞數,NE數,俗語数,主体,状态,对象同性,长幼/尊卑
1,1,你 携 了 這 蠢物 ，意 欲 何 往 ？,36,1,0,0,0,無名道,NA,T,0
2,1,你 放心 ，如今 現 有 一 段 風流 公案 正 該 了結 ，這 一 干 風流 冤家 ，尚未 投胎 入世 。趁 此 機會 ，就 將 此 蠢物 夾帶 於 中 ，使 他 去 經歷 經歷。,57,15,0,0,0,無名僧,笑,T,0
3,1,原來 近日 風流 冤孽 又 將 造劫歷世 去 不成 ？但 不 知 落 於 何 方 何 處 ？,28,5,0,0,1,無名道,NA,T,0
4,1,果 是 罕 聞 ，實 未 聞 有 還 泪 之 說 。想來 這 一 段 故事 ，比 歷來 風月 事故 更加 瑣碎 細膩 了 。,37,8,0,0,0,無名道,NA,T,0
5,1,歷來 幾 個 風流 人物 ，不過 傳 其 大概 以及 詩詞 篇章 而已 ，至 家庭 閨閣 中 一飲一食 ，總 未 述記 。再者 ，大半 風月 故事 ，不過 偷香竊玉 、暗約私奔 而已 ，幷 不曾 將 兒女 之 真情 發泄 一二 。想 這 一 干 人 入世 ，其 情痴色鬼 ，賢愚不肖 者，悉 與 前人 傳述 不同 矣。,108,27,0,0,5,無名僧,NA,T,0
6,1,趁 此 何 不 你我 也 去 下世 度脫 幾 個 ，豈 不 是 一 場 功德 ？,23,4,0,0,0,無名道,NA,T,0
7,1,正 合 吾 意 ，你 且 同 我 到 警幻仙子 宮 中，將 蠢物 交割 清楚 ，待 這 一 干 風流 孽鬼 下世 已 完 ，你我 再 去 。如今 雖 已 有 一半 落塵 ，然 猶 未 全 集 。,58,10,0,1,0,無名僧,NA,T,0
8,1,既 如此 ，便 隨 你 去 來。,10,1,0,0,0,無名道,NA,T,0
9,1,二 仙師 請 了 。,6,1,0,0,0,甄士隱,笑,T,0
10,1,適 聞 仙師 所 談 因果 ，實 人世 罕 聞 者 。但 弟子 愚濁 ，不 能 洞悉 明白 ，若 蒙 大 開 痴頑 ，備 細 一 聞 ，弟子 則 洗耳 諦聽 ，稍 能 警省 ，亦 可 免 沉倫 之 苦 。,62,13,0,0,0,甄士隱,NA,T,0
11,1,玄機 不 可 預泄 ，但 適 云 『 蠢物 』， 不 知 爲 何 ，或 可 一 見 否 ？,26,3,0,0,0,甄士隱,笑,T,0
12,1,若 問 此 物 ，倒 有 一面之緣 。,12,0,0,0,1,無名僧,NA,T,0
13,1,施主 ，你 把 這 有命無運 ，累及爹娘 之 物 ，抱 在 懷 內 作 甚 ？,25,1,0,0,2,無名僧,哭,T,0
14,1,捨 我 罷 ，捨 我 罷 ！,8,0,0,0,0,無名僧,NA,T,0
15,1,你我 不 必 同行 ，就 此 分手 ，各 幹 營生 去 罷 。三 劫 後 ，我 在 北邙山 等 你 ，會 齊 了 同 往 太虛幻境 銷號 。,43,5,0,2,0,無名道,NA,T,0
16,1,妙 妙 妙 ！,4,0,0,0,0,無名僧,NA,T,0
17,1,老 先生 倚門佇望 ，敢 是 街市 上 有 甚 新聞 否 ？,19,3,0,0,1,賈雨村,笑,T,0
18,1,非 也 ，適 因 小女 啼哭 ，引 他 出來 作耍 ，正 是 無聊 之 甚 ，兄 來 得 正 妙 ，請 入 小 齋 一 談 ，彼此 皆 可 消 此 永 晝 。,46,6,0,0,0,甄士隱,笑,T,0
19,1,恕 誑 駕 之 罪 ，略 坐 ，弟 即 來 陪 。,14,0,0,0,0,甄士隱,致歉,T,0
20,1,老 先生 請 便 。晚生 乃 常 造 之 客 ，稍候 何妨 。,19,4,0,0,0,賈雨村,回歉,T,0
21,1,雨村 兄 真 抱負 不 淺 也 ！,10,1,0,1,0,甄士隱,笑,T,0
22,1,不過 偶 吟 前人 之 句 ，何 敢 狂誕 至 此 。,16,3,0,0,0,賈雨村,笑,T,0
